address,snapshotAmountWei,claimableWei,manualPayoutWei,recoveryRateWei,extractionBlock
0x00700052c0608F670705380a4900e0a8080010CC,238606187870151,238606187870151,76260422632184,319607900000000000,25352195
0x082f79cA6CB372145A03B019AdBf9d2F4894f33b,27310135233917045,27310135233917045,8728534970828235,319607900000000000,25352195
0x0e5437b1b3448D22C07caED31e5BCdC4eC5284a9,17006646385549328397,17006646385549328397,5435458537328011195,319607900000000000,25352195
0x154F1a5F66091BD32b022E9e5752C1e63c18097d,258344244848061,258344244848061,82568861572974,319607900000000000,25352195
0x1A6781708427D459f014aa37f2cc973369fBdDDc,1379729237989982,1379729237989982,440972364322578,319607900000000000,25352195
0x1A96Db12AD7f0c9f91C538d16c39C360b5E8Fb21,49617515691181944,49617515691181944,15858149993275709,319607900000000000,25352195
0x1Ae0E2669E7B982Ae7DD45790f5cb1eA921c8683,2256577086694613,2256577086694613,721219863866583,319607900000000000,25352195
0x1b514df3413DA9931eB31f2Ab72e32c0A507Cad5,2903631494842373,2903631494842373,928023564440431,319607900000000000,25352195
0x1BF44e3b0DfC84046a416c2Cd2040860EC593e53,5449396751095157502,5449396751095157502,1741670251884345989,319607900000000000,25352195
0x1d0a2944a5BD421C5d84aE2F935bAFCD6bBE3d16,11457663322397255498,11457663322397255498,3661959713378409795,319607900000000000,25352195
0x1E714D207308869d1D56833AAba97e1Cf3dBC7eB,5786882934210771,5786882934210771,1849533502148942,319607900000000000,25352195
0x23A2dB008B42D0EF3a69dFEF95BF05a257fdcAf7,48270178413431334293,48270178413431334293,15427530355342120547,319607900000000000,25352195
0x24a21d91C82d684cd793e3829318a33784ef3626,405702313803900022,405702313803900022,129665664540005497,319607900000000000,25352195
0x24bBBA063acB77df944012c2b42f4eEBEeFb4aB5,304643088402087,304643088402087,97366337733705,319607900000000000,25352195
0x2549bB64F069a4c1F02E80a6707486b689F8faaB,967965097608143684,967965097608143684,309369292119833825,319607900000000000,25352195
0x2c6C275b7822C91aaC87b12070e9505c85Aa8691,1198153970237181373,1198153970237181373,382939474304168040,319607900000000000,25352195
0x2F2AD3E2C160d3De9503BB63b864EE8358Cc5050,8001823687954601,8001823687954601,2557446065077425,319607900000000000,25352195
0x304375E4890146DC575B894b35a42608FaB823a8,3312660057268472,3312660057268472,1058752324317456,319607900000000000,25352195
0x3687308DAEC2795DD2701bE09e8E88652Ef40984,337595338449127,337595338449127,107898137171514,319607900000000000,25352195
0x382fFCe2287252F930E1C8DC9328dac5BF282bA1,8471726621381086,8471726621381086,2707630754833703,319607900000000000,25352195
0x39378ccd645EBC564C94A806FbEdD8fdF6cBda28,53043338095810044,53043338095810044,16953069897791846,319607900000000000,25352195
0x3bBC84aC8e1c686504665f2eB863CcAbEBb31890,511426564895904639,511426564895904639,163455970410593800,319607900000000000,25352195
0x46b84d6Fb28f9518FaD8f6E6c403D1082C04cbB0,5375888754619499171,5375888754619499171,1718176515497553429,319607900000000000,25352195
0x4936f33b7B060c7336fD0e4c61316EA248DA6827,31730348810247578,31730348810247578,10141270149510726,319607900000000000,25352195
0x4bb4c1B0745ef7B4642fEECcd0740deC417ca0a0,10898793502190315,10898793502190315,3483340503768691,319607900000000000,25352195
0x4be230Ed88bbe9DEB5AB6ddEb5E282d55F871C74,2484985940243623335,2484985940243623335,794221137890789942,319607900000000000,25352195
0x4D238aC8f3a330360334f7e42358f8A872E51B4c,539460121316847,539460121316847,172415716507822,319607900000000000,25352195
0x4E4328677f69cdB1A7beF0C2949F0d2E88bf925e,9209587681949579,9209587681949579,2943456978893772,319607900000000000,25352195
0x4e4f303181150fa69d8ca2277CB4Aeb79672025c,16906682486542217,16906682486542217,5403509285490536,319607900000000000,25352195
0x5398850A9399Da87624874704FEAa8A9C6C4089B,54145019155380234,54145019155380234,17305175867710850,319607900000000000,25352195
0x53a806789BBfd366d9dEB9Cbe5d622089e845fdb,901328106785095,901328106785095,288071583420559,319607900000000000,25352195
0x55Bc991b2edF3DDb4c520B222bE4F378418ff0fA,1089879350219031500,1089879350219031500,348334050376869197,319607900000000000,25352195
0x5880Aaa9A13b87989aB9D2A408f67Fa32FEBE617,121246622545563763,121246622545563763,38751378413880288,319607900000000000,25352195
0x58Cb7c795Eb0Aee593033e3ba3dE1f9718523b53,112569877495676966,112569877495676966,35978222149650574,319607900000000000,25352195
0x5a90d3E6CfCC55d4D63bA4f729922413D9364c67,4740804454277303699,4740804454277303699,1515198555942215052,319607900000000000,25352195
0x5ca1ea5549E4e7CB64Ae35225E11865d2572b3F9,1089879350219031500,1089879350219031500,348334050376869197,319607900000000000,25352195
0x631f82fB2A62496d28780A821f47786b05e2278A,4569967294829733,4569967294829733,1460597650169211,319607900000000000,25352195
0x665d2D2444f2384fB3d96aaA0ea3536B92984dce,7580644794120013,7580644794120013,2422833963294629,319607900000000000,25352195
0x6B0A7F6b09f5ED7E04b049fe464c7a07e14bDFE9,10572576673836622765,10572576673836622765,3379079028313907945,319607900000000000,25352195
0x6C26d5ae5ea55735EFBbc0cA9a4CaF3C6753811d,10636647123769158,10636647123769158,3399556450268900,319607900000000000,25352195
0x6C2C75C06386Cc25050A3b6701f1989f177e8357,322342288116859,322342288116859,103023141786224,319607900000000000,25352195
0x7133c664AF6763ab9aeEB095D3c114a750d8DfDC,108333442442358882,108333442442358882,34624224038773193,319607900000000000,25352195
0x7172ED5ce07c66D571B1b56c6893eD439c4085F1,32723437732884086,32723437732884086,10458669214587843,319607900000000000,25352195
0x74e2f04DEF059397d4a3382Fd4a85dF062D75bF4,543132883212403427,543132883212403427,173589560224461513,319607900000000000,25352195
